Plant_ID,Family,Treatment,Bradyrhizobia,Pseudomonas,Variovorax,Block,Position,Germination,Mortality1,Leaf_no_1,Leaf_no_2,Mortality2,Leaf_no_3,Leaf_no_4,Leaf_no_5,Leaf_no_6,Death_day,Nodule_no,Pink_nodule,Yellow_nodule,Dark_nodule,Long_nodule,Round_nodule,Flower_date,Flower_count,Aboveground_mg,Belowground_mg,Dead
ZP074,S5,BPC,Y,Y,N,C,6,1,1,0,0,1,NA,NA,NA,NA,NA,0,0,0,0,0,0,NA,0,3.04,2.08,0
ZP075,S2,BPC,Y,Y,N,C,21,1,0,NA,NA,0,NA,NA,NA,NA,NA,0,0,0,0,0,0,NA,0,5.79,0.68,0
ZP076,S3,BPC,Y,Y,N,C,25,1,0,NA,NA,0,NA,NA,NA,NA,NA,0,0,0,0,0,0,NA,0,3.16,5.45,0
ZP077,S5,BPV,Y,Y,Y,C,20,1,1,1,2,1,3,2,3,NA,21,0,0,0,0,0,0,NA,0,14.25,14.32,1
ZP078,S2,BPV,Y,Y,Y,C,24,1,1,1,NA,0,NA,NA,NA,NA,NA,0,0,0,0,0,0,NA,0,6.14,4.55,0
ZP079,S6,BPV,Y,Y,Y,C,17,1,1,1,NA,0,NA,NA,NA,NA,NA,0,0,0,0,0,0,NA,0,3.81,1.84,0
ZP080,S3,BPV,Y,Y,Y,C,10,1,1,1,1,1,3,3,4,NA,14,0,0,0,0,0,0,NA,0,5.68,5.51,1
ZP081,S5,PVC,N,Y,Y,C,1,1,1,1,NA,0,NA,NA,NA,NA,NA,0,0,0,0,0,0,NA,0,1.8,0.3,0
ZP082,S10,PVC,N,Y,Y,C,12,1,1,1,2,1,3,3,3,3,NA,0,0,0,0,0,0,NA,0,13.3,16.5,0
ZP083,S8,PVC,N,Y,Y,C,19,1,1,0,1,1,NA,NA,NA,NA,NA,0,0,0,0,0,0,NA,0,3.71,0.42,0
ZP084,S8,PVC,N,Y,Y,C,15,1,1,1,1,1,4,3,3,3,NA,1,0,0,1,0,1,NA,0,10.68,11.61,0
ZP085,S1,CCC,N,N,N,D,17,1,1,1,2,1,3,2,3,NA,15,0,0,0,0,0,0,NA,0,9.3,6.8,1
ZP086,S2,CCC,N,N,N,D,18,1,1,1,2,1,3,3,3,NA,28,0,0,0,0,0,0,NA,0,7.7,8.4,1
ZP087,S6,CCC,N,N,N,D,23,1,0,NA,NA,0,NA,NA,NA,NA,NA,0,0,0,0,0,0,NA,0,NA,NA,0
ZP088,S9,CCC,N,N,N,D,9,1,1,1,2,1,3,1,2,NA,13,0,0,0,0,0,0,NA,0,8.34,17.21,1
ZP089,S8,BCC,Y,N,N,D,5,1,1,1,2,1,4,4,5,11,NA,3,1,2,0,1,2,NA,0,88.68,54.87,0
ZP090,S10,BCC,Y,N,N,D,13,1,0,NA,NA,0,NA,NA,NA,NA,NA,0,0,0,0,0,0,NA,0,0.69,3.34,0
ZP091,S9,BCC,Y,N,N,D,2,1,1,1,2,1,5,7,10,9,NA,13,0,10,3,10,3,62,7,201.4,67.15,0
ZP092,S3,VCC,N,N,Y,D,1,1,0,NA,NA,0,NA,NA,NA,NA,NA,0,0,0,0,0,0,NA,0,4.79,1.35,0
ZP093,S11,VCC,N,N,Y,D,22,1,1,1,2,1,3,3,3,4,NA,0,0,0,0,0,0,NA,0,8.6,10.4,0
ZP094,S10,VCC,N,N,Y,D,25,1,1,0,2,1,3,3,NA,NA,NA,0,0,0,0,0,0,NA,0,4.9,4.1,0
ZP095,S8,PCC,N,Y,N,D,6,1,1,1,2,1,NA,NA,NA,NA,NA,0,0,0,0,0,0,NA,0,9.37,1.84,0
ZP096,S2,PCC,N,Y,N,D,21,1,1,1,2,1,4,3,4,2,NA,0,0,0,0,0,0,NA,0,10.9,15,0
ZP097,S7,PCC,N,Y,N,D,12,1,1,0,2,1,3,1,1,NA,1,0,0,0,0,0,0,NA,0,9.44,10.68,1
ZP098,S8,BVC,Y,N,Y,D,7,1,1,0,1,1,4,4,5,2,NA,0,0,0,0,0,0,NA,0,10.28,7.91,0
ZP099,S6,BVC,Y,N,Y,D,26,1,0,NA,NA,0,NA,NA,NA,NA,NA,0,0,0,0,0,0,NA,0,5.4,0.6,0
ZP100,S7,BVC,Y,N,Y,D,24,1,1,1,2,1,3,3,NA,NA,NA,0,0,0,0,0,0,NA,0,9.8,5.6,0
ZP101,S11,BVC,Y,N,Y,D,10,1,1,1,2,1,3,3,1,NA,1,3,0,0,3,0,3,NA,0,9.64,5.52,1
ZP102,S2,BPC,Y,Y,N,D,20,1,1,1,2,1,4,5,4,1,NA,7,0,0,7,3,4,NA,0,12.6,13.6,0
ZP103,S5,BPC,Y,Y,N,D,15,1,1,1,2,1,3,4,7,13,NA,11,6,2,3,5,6,102,1,158.78,65.66,0
ZP104,S9,BPC,Y,Y,N,D,4,1,1,0,NA,0,NA,NA,NA,NA,NA,22,7,0,15,1,21,NA,0,2.18,NA,0
ZP105,S10,BPC,Y,Y,N,D,14,1,1,1,3,1,4,6,8,9,NA,0,0,0,0,0,0,NA,0,100.77,47.72,0
ZP106,S8,BPV,Y,Y,Y,D,3,1,1,0,NA,0,NA,NA,NA,NA,NA,0,0,0,0,0,0,NA,0,5.36,NA,0
ZP107,S9,BPV,Y,Y,Y,D,11,1,1,1,2,1,3,1,3,3,NA,5,0,0,5,0,5,NA,0,6.75,8.29,0
ZP108,S5,BPV,Y,Y,Y,D,16,1,1,1,2,1,NA,NA,NA,NA,NA,0,0,0,0,0,0,NA,0,7.49,2.4,0
ZP109,S7,BPV,Y,Y,Y,D,28,1,0,NA,NA,0,NA,NA,NA,NA,NA,0,0,0,0,0,0,NA,0,4.1,0.3,0
ZP110,S1,PVC,N,Y,Y,D,27,1,0,NA,NA,0,NA,NA,NA,NA,NA,0,0,0,0,0,0,NA,0,3.8,0.4,0
ZP111,S3,PVC,N,Y,Y,D,19,1,0,NA,NA,0,NA,NA,NA,NA,NA,0,0,0,0,0,0,NA,0,1.8,0.9,0
ZP112,S7,PVC,N,Y,Y,D,8,1,1,1,2,1,4,3,5,2,NA,0,0,0,0,0,0,NA,0,12.23,15.51,0
ZP113,S1,CCC,N,N,N,E,28,1,1,1,2,1,1,1,1,NA,1,0,0,0,0,0,0,NA,0,8.16,15.13,1
